Doctor_Id,Practice_Specialities
81,"Critical Care Medicine"
81,"Internal Medicine"
82,"Child and Adolescent Psychiatry"
82,Psychiatry
83,"Adult Cardiac Anesthesiology"
83,Anesthesiology
84,"Child and Adolescent Psychiatry"
84,Psychiatry
85,Neurology
85,"Vascular Neurology"
86,"Child and Adolescent Psychiatry"
86,Psychiatry
87,"Child and Adolescent Psychiatry"
87,Psychiatry
88,"Child and Adolescent Psychiatry"
88,Psychiatry
89,"Geriatric Psychiatry"
89,Psychiatry
90,"Child and Adolescent Psychiatry"
90,Psychiatry
91,"Orthopaedic Surgery"
91,"Orthopaedic Surgery of the Spine"
92,"Neurocritical Care"
92,Neurology
93,"Geriatric Psychiatry"
93,Psychiatry
94,"Molecular Genetic Pathology"
94,Pathology
95,"Child and Adolescent Psychiatry"
95,Psychiatry
96,"Child and Adolescent Psychiatry"
96,Psychiatry
97,Neurology
97,"Neuromuscular Medicine"
97,"Pain Medicine"
98,"Child and Adolescent Psychiatry"
98,Psychiatry
99,"Addiction Psychiatry"
99,"Preventive Medicine"
99,Psychiatry
99,"Public Health and General Preventive Medicine"
100,"Addiction Psychiatry"
100,Psychiatry
101,"Adult Cardiac Anesthesiology"
101,Anesthesiology
102,"Child and Adolescent Psychiatry"
102,Psychiatry
103,"Diagnostic Radiology"
103,"Interventional Radiology"
103,Neurology
103,"Vascular Neurology"
104,"Child and Adolescent Psychiatry"
104,Psychiatry
105,"Child and Adolescent Psychiatry"
105,Psychiatry
106,"Child and Adolescent Psychiatry"
106,Psychiatry
107,"Child and Adolescent Psychiatry"
107,Psychiatry
108,"Child and Adolescent Psychiatry"
108,Psychiatry
109,"Child and Adolescent Psychiatry"
109,Psychiatry
110,"Child and Adolescent Psychiatry"
110,Psychiatry
111,"Child and Adolescent Psychiatry"
111,Psychiatry
112,"Child and Adolescent Psychiatry"
112,Psychiatry
113,"Developmental and Behavioral Pediatrics"
113,Pediatrics
114,"Child and Adolescent Psychiatry"
114,Psychiatry
115,"Child and Adolescent Psychiatry"
115,Psychiatry
116,"Child and Adolescent Psychiatry"
116,Psychiatry
117,"Child and Adolescent Psychiatry"
117,Psychiatry
118,"Child and Adolescent Psychiatry"
118,Psychiatry
119,"Geriatric Psychiatry"
119,Psychiatry
120,"Child and Adolescent Psychiatry"
120,Psychiatry
121,"Child and Adolescent Psychiatry"
121,Psychiatry
122,"Child and Adolescent Psychiatry"
122,Psychiatry
123,"General Surgery"
123,"Surgical Critical Care"
124,"Addiction Medicine"
124,"Forensic Psychiatry"
